1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Country Code,Country Name,Indicator Code,Indicator Name
-9.45E-02,-3.29E-01,3.13E-01,-5.06E-01,-1.17E+00,-9.83E-01,5.62E-01,1.16E-01,-2.69E-01,-1.40E+00,-3.05E+00,-2.59E+00,-2.12E+00,-1.98E+00,-1.42E+00,-2.35E+00,-1.80E+00,-1.35E+00,-1.40E+00,-1.12E+00,-1.38E+00,7.42E-04,-7.34E-01,1.66E-02,-2.97E-01,-1.16E+00,-1.14E+00,-1.22E+00,-1.63E+00,-1.88E+00,-8.91E-01,-8.61E-01,-9.63E-01,-6.85E-01,-1.75E+00,-2.74E+00,-3.16E+00,-4.01E+00,-5.07E+00,-5.38E+00,-4.36E+00,-6.45E+00,IND,India,NE.RSB.GNFS.ZS,External balance on goods and services (% of GDP)
-4.50E+08,-1.68E+09,1.76E+09,-3.46E+09,-9.44E+09,-8.52E+09,5.25E+09,1.23E+09,-3.08E+09,-1.75E+10,-4.57E+10,-4.55E+10,-4.17E+10,-4.54E+10,-3.64E+10,-6.80E+10,-5.82E+10,-4.98E+10,-6.10E+10,-5.60E+10,-8.06E+10,5.00E+07,-5.69E+10,1.48E+09,-3.10E+10,-1.42E+11,-1.62E+11,-1.91E+11,-2.95E+11,-3.80E+11,-1.94E+11,-2.03E+11,-2.44E+11,-1.95E+11,-5.69E+11,-1.01E+12,-1.36E+12,-2.00E+12,-2.85E+12,-3.48E+12,-3.40E+12,-5.79E+12,IND,India,NE.RSB.GNFS.CN,External balance on goods and services (current LCU)
-6.00E+07,-2.26E+08,2.28E+08,-4.40E+08,-1.18E+09,-9.85E+08,5.87E+08,1.44E+08,-3.75E+08,-2.17E+09,-5.79E+09,-5.10E+09,-4.33E+09,-4.40E+09,-3.06E+09,-5.56E+09,-4.55E+09,-3.84E+09,-4.21E+09,-3.36E+09,-4.49E+09,2.04E+06,-2.15E+09,4.72E+07,-9.88E+08,-4.25E+09,-4.55E+09,-5.15E+09,-7.01E+09,-8.77E+09,-4.25E+09,-4.25E+09,-5.05E+09,-4.23E+09,-1.27E+10,-2.29E+10,-3.00E+10,-4.97E+10,-6.20E+10,-7.34E+10,-7.46E+10,-1.21E+11,IND,India,NE.RSB.GNFS.CD,External balance on goods and services (current US$)
5.49E+00,5.41E+00,5.32E+00,5.24E+00,5.16E+00,5.08E+00,5.00E+00,4.92E+00,4.84E+00,4.76E+00,4.68E+00,4.60E+00,4.52E+00,4.44E+00,4.36E+00,4.28E+00,4.20E+00,4.13E+00,4.04E+00,3.96E+00,3.88E+00,3.79E+00,3.71E+00,3.63E+00,3.55E+00,3.47E+00,3.40E+00,3.33E+00,3.27E+00,3.21E+00,3.15E+00,3.08E+00,3.02E+00,2.95E+00,2.88E+00,2.82E+00,2.75E+00,2.69E+00,2.64E+00,2.60E+00,2.56E+00,2.53E+00,IND,India,SP.DYN.TFRT.IN,"Fertility rate, total (births per woman)"
4.30E+11,4.67E+11,5.13E+11,6.12E+11,7.41E+11,7.70E+11,8.06E+11,9.20E+11,1.00E+12,1.10E+12,1.33E+12,1.53E+12,1.71E+12,2.00E+12,2.22E+12,2.47E+12,2.80E+12,3.13E+12,3.64E+12,4.08E+12,4.68E+12,5.36E+12,6.05E+12,6.94E+12,8.02E+12,9.28E+12,1.08E+13,1.20E+13,1.39E+13,1.57E+13,1.68E+13,1.82E+13,1.92E+13,2.10E+13,2.27E+13,2.55E+13,2.92E+13,3.35E+13,3.86E+13,4.48E+13,5.24E+13,6.10E+13,IND,India,NE.CON.TOTL.CN,Final consumption expenditure (current LCU)
5.73E+10,6.27E+10,6.63E+10,7.78E+10,9.30E+10,8.89E+10,9.02E+10,1.07E+11,1.22E+11,1.36E+11,1.69E+11,1.72E+11,1.77E+11,1.94E+11,1.87E+11,2.02E+11,2.19E+11,2.41E+11,2.51E+11,2.45E+11,2.61E+11,2.19E+11,2.29E+11,2.21E+11,2.55E+11,2.77E+11,3.05E+11,3.23E+11,3.31E+11,3.63E+11,3.68E+11,3.82E+11,3.97E+11,4.56E+11,5.06E+11,5.77E+11,6.45E+11,8.33E+11,8.40E+11,9.44E+11,1.15E+12,1.27E+12,IND,India,NE.CON.TOTL.CD,Final consumption expenditure (current US$)
8.48E+01,8.36E+01,8.39E+01,8.40E+01,8.26E+01,8.25E+01,8.13E+01,8.17E+01,8.03E+01,8.04E+01,8.50E+01,8.07E+01,8.01E+01,8.20E+01,7.99E+01,7.89E+01,7.83E+01,7.87E+01,7.76E+01,7.72E+01,7.65E+01,7.75E+01,7.65E+01,7.87E+01,7.71E+01,7.51E+01,7.91E+01,7.67E+01,7.81E+01,7.51E+01,7.68E+01,7.53E+01,7.60E+01,7.45E+01,6.93E+01,6.85E+01,6.73E+01,6.60E+01,6.95E+01,6.91E+01,6.74E+01,7.10E+01,IND,India,NE.CON.TETC.ZS,"Final consumption expenditure, etc. (% of GDP)"
4.04E+11,4.26E+11,4.71E+11,5.75E+11,6.67E+11,7.15E+11,7.60E+11,8.65E+11,9.20E+11,1.01E+12,1.27E+12,1.42E+12,1.57E+12,1.88E+12,2.05E+12,2.28E+12,2.54E+12,2.90E+12,3.39E+12,3.88E+12,4.48E+12,5.22E+12,5.92E+12,7.01E+12,8.06E+12,9.21E+12,1.12E+13,1.21E+13,1.41E+13,1.52E+13,1.67E+13,1.77E+13,1.93E+13,2.12E+13,2.25E+13,2.53E+13,2.89E+13,3.29E+13,3.92E+13,4.47E+13,5.25E+13,6.37E+13,IND,India,NE.CON.TETC.CN,"Final consumption expenditure, etc. (current LCU)"
5.38E+10,5.73E+10,6.10E+10,7.31E+10,8.36E+10,8.27E+10,8.50E+10,1.01E+11,1.12E+11,1.25E+11,1.61E+11,1.59E+11,1.64E+11,1.82E+11,1.72E+11,1.87E+11,1.98E+11,2.24E+11,2.34E+11,2.33E+11,2.50E+11,2.13E+11,2.24E+11,2.24E+11,2.57E+11,2.75E+11,3.16E+11,3.25E+11,3.35E+11,3.50E+11,3.66E+11,3.72E+11,3.98E+11,4.61E+11,5.00E+11,5.71E+11,6.39E+11,8.17E+11,8.51E+11,9.43E+11,1.15E+12,1.33E+12,IND,India,NE.CON.TETC.CD,"Final consumption expenditure, etc. (current US$)"
3.86E+01,3.90E+01,3.74E+01,4.04E+01,3.91E+01,4.35E+01,4.31E+01,4.66E+01,4.81E+01,4.59E+01,4.78E+01,5.11E+01,5.08E+01,5.69E+01,5.80E+01,5.92E+01,6.02E+01,5.97E+01,6.54E+01,6.91E+01,7.03E+01,7.13E+01,7.43E+01,7.70E+01,7.92E+01,8.12E+01,8.46E+01,8.57E+01,8.81E+01,9.22E+01,9.17E+01,9.48E+01,8.74E+01,9.65E+01,9.47E+01,1.00E+02,1.05E+02,1.15E+02,1.17E+02,1.14E+02,1.23E+02,1.31E+02,IND,India,AG.PRD.FOOD.XD,Food production index (2004-2006 = 100)
1.52E+11,1.54E+11,1.53E+11,1.58E+11,1.60E+11,1.75E+11,1.78E+11,1.91E+11,2.02E+11,1.91E+11,2.04E+11,2.16E+11,2.24E+11,2.40E+11,2.49E+11,2.62E+11,2.75E+11,2.86E+11,3.13E+11,3.32E+11,3.50E+11,3.54E+11,3.73E+11,3.91E+11,4.17E+11,4.49E+11,4.83E+11,5.02E+11,5.33E+11,5.80E+11,6.03E+11,6.32E+11,6.56E+11,7.07E+11,7.63E+11,8.34E+11,9.11E+11,1.00E+12,1.04E+12,1.13E+12,1.25E+12,1.33E+12,IND,India,NY.GDP.MKTP.KD,GDP (constant 2005 US$)
6.44E+12,6.55E+12,6.51E+12,6.73E+12,6.81E+12,7.43E+12,7.55E+12,8.10E+12,8.57E+12,8.12E+12,8.66E+12,9.18E+12,9.50E+12,1.02E+13,1.06E+13,1.11E+13,1.17E+13,1.21E+13,1.33E+13,1.41E+13,1.49E+13,1.50E+13,1.59E+13,1.66E+13,1.77E+13,1.91E+13,2.05E+13,2.13E+13,2.26E+13,2.47E+13,2.56E+13,2.68E+13,2.79E+13,3.00E+13,3.24E+13,3.54E+13,3.87E+13,4.25E+13,4.42E+13,4.79E+13,5.30E+13,5.63E+13,IND,India,NY.GDP.MKTP.KN,GDP (constant LCU)
4.76E+11,5.10E+11,5.62E+11,6.84E+11,8.08E+11,8.67E+11,9.34E+11,1.06E+12,1.15E+12,1.26E+12,1.50E+12,1.76E+12,1.97E+12,2.29E+12,2.57E+12,2.90E+12,3.24E+12,3.68E+12,4.37E+12,5.02E+12,5.86E+12,6.74E+12,7.75E+12,8.91E+12,1.05E+13,1.23E+13,1.42E+13,1.57E+13,1.80E+13,2.02E+13,2.18E+13,2.36E+13,2.54E+13,2.84E+13,3.24E+13,3.69E+13,4.29E+13,4.99E+13,5.63E+13,6.48E+13,7.80E+13,8.97E+13,IND,India,NY.GDP.MKTP.CN,GDP (current LCU)
6.35E+10,6.85E+10,7.27E+10,8.70E+10,1.01E+11,1.00E+11,1.05E+11,1.24E+11,1.40E+11,1.56E+11,1.90E+11,1.97E+11,2.04E+11,2.22E+11,2.16E+11,2.37E+11,2.53E+11,2.84E+11,3.02E+11,3.01E+11,3.27E+11,2.75E+11,2.93E+11,2.84E+11,3.33E+11,3.67E+11,4.00E+11,4.23E+11,4.29E+11,4.67E+11,4.77E+11,4.94E+11,5.24E+11,6.18E+11,7.22E+11,8.34E+11,9.49E+11,1.24E+12,1.22E+12,1.37E+12,1.71E+12,1.87E+12,IND,India,NY.GDP.MKTP.CD,GDP (current US$)
7.39E+00,7.79E+00,8.63E+00,1.02E+01,1.19E+01,1.17E+01,1.24E+01,1.31E+01,1.34E+01,1.55E+01,1.73E+01,1.91E+01,2.07E+01,2.25E+01,2.42E+01,2.60E+01,2.78E+01,3.03E+01,3.28E+01,3.56E+01,3.94E+01,4.48E+01,4.88E+01,5.37E+01,5.90E+01,6.44E+01,6.92E+01,7.37E+01,7.96E+01,8.21E+01,8.51E+01,8.78E+01,9.11E+01,9.46E+01,1.00E+02,1.04E+02,1.11E+02,1.17E+02,1.27E+02,1.35E+02,1.47E+02,1.59E+02,IND,India,NY.GDP.DEFL.ZS,GDP deflator (base year varies by country)
2.73E+02,2.72E+02,2.64E+02,2.67E+02,2.64E+02,2.81E+02,2.79E+02,2.93E+02,3.02E+02,2.80E+02,2.92E+02,3.02E+02,3.06E+02,3.21E+02,3.26E+02,3.36E+02,3.44E+02,3.50E+02,3.76E+02,3.90E+02,4.03E+02,3.99E+02,4.13E+02,4.25E+02,4.44E+02,4.69E+02,4.96E+02,5.07E+02,5.29E+02,5.66E+02,5.78E+02,5.96E+02,6.09E+02,6.47E+02,6.87E+02,7.40E+02,7.97E+02,8.63E+02,8.85E+02,9.48E+02,1.03E+03,1.09E+03,IND,India,NY.GDP.PCAP.KD,GDP per capita (constant 2005 US$)
1.16E+04,1.15E+04,1.12E+04,1.13E+04,1.12E+04,1.19E+04,1.19E+04,1.24E+04,1.28E+04,1.19E+04,1.24E+04,1.28E+04,1.30E+04,1.36E+04,1.38E+04,1.43E+04,1.46E+04,1.49E+04,1.60E+04,1.66E+04,1.71E+04,1.70E+04,1.75E+04,1.80E+04,1.89E+04,1.99E+04,2.11E+04,2.15E+04,2.25E+04,2.40E+04,2.46E+04,2.53E+04,2.59E+04,2.75E+04,2.92E+04,3.14E+04,3.39E+04,3.67E+04,3.76E+04,4.03E+04,4.39E+04,4.61E+04,IND,India,NY.GDP.PCAP.KN,GDP per capita (constant LCU)
8.58E+02,8.98E+02,9.68E+02,1.15E+03,1.33E+03,1.39E+03,1.47E+03,1.62E+03,1.72E+03,1.84E+03,2.14E+03,2.46E+03,2.69E+03,3.06E+03,3.36E+03,3.70E+03,4.05E+03,4.51E+03,5.24E+03,5.90E+03,6.75E+03,7.60E+03,8.57E+03,9.68E+03,1.11E+04,1.28E+04,1.46E+04,1.59E+04,1.79E+04,1.97E+04,2.09E+04,2.22E+04,2.36E+04,2.60E+04,2.92E+04,3.28E+04,3.76E+04,4.30E+04,4.79E+04,5.44E+04,6.47E+04,7.35E+04,IND,India,NY.GDP.PCAP.CN,GDP per capita (current LCU)
1.14E+02,1.21E+02,1.25E+02,1.46E+02,1.67E+02,1.61E+02,1.64E+02,1.90E+02,2.09E+02,2.28E+02,2.71E+02,2.75E+02,2.79E+02,2.97E+02,2.82E+02,3.03E+02,3.17E+02,3.48E+02,3.62E+02,3.54E+02,3.76E+02,3.10E+02,3.24E+02,3.09E+02,3.55E+02,3.84E+02,4.11E+02,4.27E+02,4.25E+02,4.55E+02,4.57E+02,4.66E+02,4.87E+02,5.65E+02,6.50E+02,7.40E+02,8.30E+02,1.07E+03,1.04E+03,1.15E+03,1.42E+03,1.53E+03,IND,India,NY.GDP.PCAP.CD,GDP per capita (current US$)
654.5361396,674.2522328,694.5622188,715.4839871,737.0359658,759.2371384,782.1070599,805.6658747,829.9343337,854.933813,880.6863325,907.2145756,934.5419087,962.6924022,9.84E+02,1.01E+03,1.04E+03,1.06E+03,1.13E+03,1.18E+03,1.22E+03,1.21E+03,1.25E+03,1.28E+03,1.34E+03,1.42E+03,1.50E+03,1.53E+03,1.60E+03,1.71E+03,1.75E+03,1.80E+03,1.84E+03,1.95E+03,2.07E+03,2.23E+03,2.41E+03,2.61E+03,2.67E+03,2.86E+03,3.12E+03,3.28E+03,IND,India,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2005 international $)"
